Date,shape_temp_1,shape_temp_2,shape_temp_3,shape_temp_4,shape_temp_5,shape_temp_6,shape_temp_7,shape_temp_8,shape_temp_9,shape_temp_10,shape_temp_11,shape_temp_12,shape_temp_14,shape_temp_16,shape_temp_17,shape_temp_18,shape_temp_19,shape_temp_20,shape_temp_21,shape_temp_22,shape_temp_23,shape_temp_24,shape_temp_25,shape_temp_26,shape_temp_27,shape_temp_28,shape_temp_29,shape_temp_30,shape_temp_31,shape_temp_32,shape_temp_33,shape_temp_34,shape_temp_35,shape_temp_36,shape_temp_37,shape_temp_38,shape_temp_39,shape_temp_40,shape_temp_41,shape_temp_42,shape_temp_43,shape_temp_44,shape_temp_45,shape_temp_46,shape_temp_47,shape_temp_48,shape_temp_49,shape_temp_50,shape_temp_51
2026-01-01 05:00:00,18.799999,18.342338,18.344751,17.700001,19.456475,14.089821,14.6,15.572876,10.101473,10.262551,25.0,15.91414,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.733334,25.0,25.0,25.0,25.0,25.0,19.942371,17.873934,21.924,25.0,21.799999,26.631914,20.482261,25.0,17.938022,22.588395,17.733039,20.973703,22.044852,17.929393,20.143658,18.820792,16.032244,24.0
2026-01-01 05:10:00,18.799999,18.735396,18.742464,17.652529,19.082442,14.576918,14.738113,15.562595,9.005452,10.452373,25.0,15.957778,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.6875,25.0,25.0,25.0,25.0,25.0,19.961164,17.434667,21.96,25.0,21.799999,27.423404,20.060671,25.0,18.102901,22.799999,17.452586,20.705486,22.277367,17.969577,20.299999,18.700001,16.642158,24.0
2026-01-01 05:20:00,18.725863,18.803143,18.810422,17.549145,18.89407,14.660388,14.558622,15.544775,9.018626,10.385615,25.0,15.976383,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.664584,25.0,25.0,25.0,25.0,25.0,19.897216,17.408041,21.978,25.0,21.799999,27.819148,19.943195,25.0,18.053157,22.486748,17.282961,20.5541,22.84685,17.674324,20.114389,18.732897,17.057401,23.994524
2026-01-01 05:30:00,18.630442,18.841987,18.846934,17.446319,18.767382,14.739312,14.266752,15.532908,9.039518,10.246461,25.0,16.001415,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.641667,25.0,25.0,25.0,25.0,25.0,19.833268,17.4,21.996,25.0,21.799999,28.214893,19.837366,25.0,17.985561,22.171256,17.200001,20.484714,23.264355,17.304124,19.906468,18.796887,17.259868,23.976032
2026-01-01 05:40:00,18.6,18.881621,18.87821,17.4,18.680128,15.094556,14.050034,15.917814,9.05388,10.031933,25.0,16.196297,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.595834,25.0,25.0,25.0,25.0,25.0,19.893636,17.544526,22.032,25.0,21.799999,29.006382,19.568166,25.0,17.958372,22.168751,17.195142,20.6,23.159631,17.200001,19.878899,18.877326,17.045268,23.55809
2026-01-01 05:50:00,18.6,18.913669,18.907429,17.4,18.626688,14.847278,14.104942,15.962539,9.036009,10.197044,25.0,16.186838,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.572917,25.0,25.0,25.0,25.0,25.0,19.873133,17.514559,22.05,25.0,21.799999,29.402127,19.5162,25.0,18.02621,22.10132,17.069305,20.6,23.305512,17.35,19.831492,18.740758,16.898648,23.236374
2026-01-01 06:00:00,18.6,18.941304,18.935114,17.4,18.586366,14.6,14.275858,16.000671,9.018139,10.362156,25.0,16.155793,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.55,25.0,25.0,25.0,25.0,25.0,19.812427,17.432082,22.068,25.0,21.799999,29.797872,19.461144,25.0,18.143719,21.953681,16.947708,20.6,23.451394,17.5,19.799999,18.484586,16.827074,23.072833
2026-01-01 06:10:00,18.6,18.964528,18.960867,17.65529,18.554879,14.9,15.761885,16.148015,9.06204,9.857847,25.0,15.7,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.504167,25.0,25.0,25.0,25.0,25.0,19.439927,17.088474,22.104,25.0,21.799999,30.589361,19.075172,25.0,18.249133,21.666316,17.594032,20.6,23.1,17.444416,19.876278,18.194806,16.875145,23.295261
2026-01-01 06:20:00,18.6,19.015282,19.0168,17.735278,18.466748,14.665927,16.259482,15.939124,9.365807,9.462603,25.0,15.767693,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.48125,25.0,25.0,25.0,25.0,25.0,19.264698,16.983255,22.122,25.0,21.799999,30.985106,18.914792,25.0,18.635606,21.650248,17.41464,20.696449,22.676627,17.64382,19.905161,17.906378,17.053487,23.338893
2026-01-01 06:30:00,18.6,19.068551,19.071714,17.766202,18.4,14.431854,16.637571,15.730233,9.634383,9.2,25.0,15.951224,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.458333,25.0,25.0,25.0,25.0,25.0,19.188842,16.942811,22.14,25.0,21.799999,31.380851,18.84787,25.0,19.201996,21.634712,17.200001,20.954421,22.05797,17.951435,19.9169,17.642402,17.299999,23.37753
