Date,shape_irrad_1,shape_irrad_2,shape_irrad_3,shape_irrad_4,shape_irrad_5,shape_irrad_6,shape_irrad_7,shape_irrad_8,shape_irrad_9,shape_irrad_10,shape_irrad_11,shape_irrad_12,shape_irrad_14,shape_irrad_16,shape_irrad_17,shape_irrad_18,shape_irrad_19,shape_irrad_20,shape_irrad_21,shape_irrad_22,shape_irrad_23,shape_irrad_24,shape_irrad_25,shape_irrad_26,shape_irrad_27,shape_irrad_28,shape_irrad_29,shape_irrad_30,shape_irrad_31,shape_irrad_32,shape_irrad_33,shape_irrad_34,shape_irrad_35,shape_irrad_36,shape_irrad_37,shape_irrad_38,shape_irrad_39,shape_irrad_40,shape_irrad_41,shape_irrad_42,shape_irrad_43,shape_irrad_44,shape_irrad_45,shape_irrad_46,shape_irrad_47,shape_irrad_48,shape_irrad_49,shape_irrad_50,shape_irrad_51
2026-01-01 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006667,0.003451,0.003046,0.00454,0.0,0.00454,0.003299,0.006482,0.002449,0.004576,0.003644,0.004519,0.16705,0.004975,0.007297,0.00671,0.0,0.0,0.0,0.043076,0.0,0.0,0.203132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006786,0.003643,0.003171,0.00475,0.0,0.00475,0.003461,0.006792,0.002541,0.004831,0.003847,0.00477,0.17258,0.005185,0.007703,0.007083,0.0,0.0,0.0,0.04523,0.0,0.0,0.214417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006904,0.003835,0.003296,0.004961,0.0,0.004961,0.003622,0.007102,0.002632,0.005085,0.004049,0.005021,0.17811,0.005395,0.008108,0.007456,0.0,0.0,0.0,0.047384,0.0,0.0,0.225702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:40:00,0.00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000105,0.0,0.0,0.000493,0.0,0.0,0.007141,0.004218,0.003546,0.005382,0.0,0.005382,0.003946,0.007723,0.002816,0.005593,0.004454,0.005523,0.18917,0.005814,0.008919,0.008201,0.0,0.0,0.0,0.051691,0.0,0.0,0.248272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:50:00,0.000222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3e-05,8.1e-05,0.0,0.000246,0.0,0.0,0.00726,0.00441,0.00367,0.005592,0.0,0.005592,0.004108,0.008033,0.002907,0.005847,0.004656,0.005774,0.1947,0.006024,0.009325,0.008574,0.0,0.0,0.0,0.053845,0.0,0.0,0.259557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00,0.000233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000163,0.0,0.0,0.0,0.0,0.007378,0.004602,0.003795,0.005803,0.0,0.005803,0.004269,0.008343,0.002999,0.006102,0.004859,0.006025,0.20023,0.006234,0.00973,0.008947,0.0,0.0,0.0,0.055999,0.0,0.0,0.270843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:10:00,0.000108,0.0,0.0,0.0,0.0,0.0,0.000499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007615,0.004985,0.004045,0.006224,0.0,0.006224,0.004593,0.008963,0.003182,0.00661,0.005264,0.006527,0.21129,0.006653,0.010541,0.009692,0.0,0.0,0.0,0.060306,0.0,0.0,0.293413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:20:00,3.4e-05,0.0,0.0,0.0,0.0,0.0,0.000465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007734,0.005177,0.00417,0.006435,0.0,0.006435,0.004755,0.009273,0.003274,0.006864,0.005466,0.006778,0.21682,0.006863,0.010946,0.010065,0.0,0.0,0.0,0.06246,0.0,0.0,0.304698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.000432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007852,0.005369,0.004294,0.006645,0.0,0.006645,0.004916,0.009583,0.003365,0.007119,0.005669,0.007029,0.22235,0.007073,0.011352,0.010438,0.0,0.0,0.0,0.064614,0.0,0.0,0.315983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.000666,0.0,0.0,6.2e-05,0.0,0.0,0.0,0.0,0.008089,0.005752,0.004544,0.007066,0.0,0.007066,0.00524,0.010203,0.003548,0.007627,0.006074,0.007531,0.23341,0.007492,0.012162,0.011183,0.0,0.0,0.0,0.068922,0.0,0.0,0.338553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
