PAC,long,lat
3858384838470850,-38.470832999743095,-3.858342400281515
3859722838471252,-38.470987999696376,-3.8596428001750382
3859722838471252,-38.47124900004127,-3.8597349995705486
3880253838459064,-38.459021000019106,-3.880168199902471
3860779538466575,-38.466706000081786,-3.861237700159677
3863155538464668,-38.46466799962843,-3.8631462998617963
3863606938463566,-38.46353300034764,-3.8634873002986296
3863487338463533,-38.46466799962843,-3.8631462998617963
3863487338463533,-38.46392699963127,-3.8633826003267018
3858070038471717,-38.471520999994084,-3.858443500267299
3859921838470889,-38.47088000011189,-3.859923099971013
3857020538467522,-38.466556000359105,-3.8575630999570762
3857020538467522,-38.46724000042565,-3.8575061000264554
3857020538467522,-38.46760800030893,-3.857396999671778
3859626138465088,-38.46516900024909,-3.859868500331004
3859149538464936,-38.46508800011105,-3.8596260997646255
3859149538464936,-38.46493600029612,-3.859149500449064
3858679838464784,-38.4648780003194,-3.8588987002148087
3858048038464574,-38.46478399958187,-3.858679799832828
3858048038464574,-38.46457399979022,-3.858048000015117
3858057738471717,-38.47171700003946,-3.8580577001027336
3866486238468109,-38.46810900003027,-3.8664862002778477
3858279038470984,-38.4710439995809,-3.858256800111178
3858272938470980,-38.47098400041125,-3.8582789998758926
3858330138469951,-38.47001699988459,-3.8585908002252154
3857522938469643,-38.46967200016263,-3.857488399569945
3858027938469863,-38.4699510004383,-3.858330100253852
3858590838470017,-38.47002100006904,-3.858603499551805
3857735538469768,-38.46986299997741,-3.8580279001674285
3858603538470021,-38.47023900022964,-3.858532800248497
3858443538471521,-38.47129799960294,-3.858871900417796
3858568738474534,-38.47444299984454,-3.8585709000269617
3858668338471843,-38.471529000363034,-3.858448799972109
3858641138472657,-38.471842999554724,-3.8586683002018276
3858641138472657,-38.472653000035905,-3.858641399680778
3860329638472411,-38.472544000405264,-3.8588075997908504
3860329638472411,-38.47248000015185,-3.859419299760816
3860329638472411,-38.4724719997829,-3.859732299805728
3860329638472411,-38.47241099966783,-3.8603295998311182
3858807638472544,-38.472544000405264,-3.8588075997908504
3858647338472653,-38.472653000035905,-3.858647300132759
3858448838471529,-38.471529000363034,-3.858448799972109
3858570938474443,-38.47300400003451,-3.8586192997408375
3858570938474443,-38.47372299991645,-3.8585892003312665
3858570938474443,-38.47444299984454,-3.8585709000269617
3860254738466429F,-38.46642899989837,-3.8602546997944955
3860634738466538,-38.46653800042833,-3.8606347002311736
3860254738466429,-38.46642899989837,-3.8602546997944955
3859948338466326,-38.46531499978738,-3.8603080997389725
3859948338466326,-38.46598600015375,-3.8600782995738427
3860788338466585,-38.46657500033598,-3.860779500073818
3861203238470121,-38.4701869996303,-3.8613180995506013
3861318138470187,-38.470193999953096,-3.8613265001178547
3861326538470194,-38.47006100011504,-3.861589899853925
3876494538462802,-38.46234799966044,-3.877362200005507
3876494538462802,-38.4626360003511,-3.8768304003027083
3873188638464702,-38.464503000113325,-3.873535699812635
3859216538471156,-38.470982000319,-3.859640700258069
3859216538471156,-38.47115600024915,-3.8592164999414535
3872568338465056,-38.465056000434004,-3.8725682999869946
